Filename: 2019-01-18 Rotation Phospho-flow Exp BAD Unstim_01_0_CD45_viSNE_UMAP_FlowSOM.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event #,Time,Event_length,75As,89Y_CD45,103Rh_Rh,138Ba_barium,139La,140Ce,141Pr,142Ce_CD19,143Nd,144Nd_p-PLCy2,145Nd_CD4 (v),146Nd_CD8a (v),147Sm_p-STAT5,148Sm_CD14,149Sm,150Sm,151Eu,152Sm,153Eu_p-STAT1,154Gd,155Gd,156Gd,157Gd,158Gd_p-STAT3,159Tb,160Dy,161Dy,162Dy,163Dy,164Dy,165Ho,166Er,167Er,168Er,169Tm,170Yb_CD3,171Yb,172Yb,173Yb,174Yb_HLA-DR (v),175Lu_p-STAT6,176Lu,190BCKG,191Ir_Ir,193Ir_Ir,194Pt,195Pt,209Bi_CD16 (v),Center,Offset,Width,Residual,tSNE1,tSNE2,UMAP1,UMAP2,cluster
22,101650.4453,19,0,361.159729,0.38978377,36.16736221,0,0,0,2.299723387,0,0.623591363,88.90811157,3.713210821,1.715808153,0.128575414,0,0,0,0,0,0,0,0,0,3.015970945,0,0,0,0,0,0,0.068895347,0.955407381,0.337060601,0,0,176.4728088,1.872498155,0,0,0,2.758574486,0.928395212,1.430621266,1507.468018,2675.255615,31.79958344,13.88253307,0,701.0380249,92.68399811,52.71300125,99.61000061,-42.45327377,-25.38357162,-6.783041477,3.46694088,7
23,101714.5703,17,0,593.930481,0.35815385,41.48479843,0,0,0,0,0,2.602597713,7.075549126,1.588852286,0,208.4729309,4.101111889,0.648778975,0,0.73490715,3.316603661,0,0,0,0,0.672673523,0,0,0.096450746,1.634462953,0,4.548489571,0,0,0,0,0,0,0.177277744,0,1.051677346,158.9446869,2.75148654,0,1.374144912,2636.055908,4621.95459,43.23728943,2.358641624,0,600.6099854,85.01699829,43.16899872,96.0739975,-58.40642929,47.48899841,6.276550293,4.560168266,2
24,101998.9688,20,0,345.2147522,0,61.93379211,0.555953741,0,0,0,0,1.919827342,0.830782175,0,3.982796192,1.480090976,0,0,0,0,1.349367023,0,0,0,0,0.719029784,0,0.245080382,0,0,0,0.444242567,0,0,0,0,0,0.456591964,0,0,0,0.444881856,5.66674757,0,7.397392273,1826.498413,3303.005127,43.95982742,5.58616209,73.58926392,808.934021,108.0250015,63.39899826,72,43.5449791,93.2153244,8.779856682,-4.814653873,4
25,102044.0234,20,0,466.1141663,0,45.7782402,0,0.265734017,0,0,0,0.650885522,70.49625397,2.173160553,1.726786852,2.197910309,0,0,0,0,2.758209467,1.008007884,0,0,0,0,0,0,1.777232409,0,0,0.00289152,0,0.794813275,0,0,0,125.1055984,0,0,2.10859251,0,1.75323832,0,0.74572736,1516.52063,2686.07373,37.24822617,7.655326843,0,692.3519897,95.28199768,57.05799866,96.46800232,77.4909668,-60.14379883,-5.325568676,2.945919275,7
26,102369.9844,24,0,512.0441895,0.645952344,54.76683044,0.169099644,0,0,0,0,0,65.67216492,0.044003226,1.651859522,0,0,0,0,0,1.080671549,0,0,0,0,0,0,0.744749904,0.951065838,0,0.742086172,0.107590109,0,0,2.16519475,0.959945321,0,132.6203461,1.990184546,0,0.226247504,0,2.720083952,0,1.48843801,1825.902466,3280.849365,32.64366531,12.05700493,0.196976215,916.8400269,111.3639984,78.43099976,82.45800018,118.1763458,1.894873977,-3.872782707,4.544816494,7
27,102375.3359,17,0,613.1070557,0,67.59364319,0,0,0,0,0,6.038477898,119.6581726,3.538431406,3.481756687,0,0,0,0,0,1.31501019,0,0,0,0,0,0,1.268907428,0,0.248491302,0,0,0,0,6.890131474,0,0,196.5888672,1.149728894,0,0,1.572198153,0.256211936,0,3.881422758,2043.813599,3645.251221,33.41218567,5.374330997,0,553.2639771,83.24099731,42.45999908,103.0230026,-5.397671223,-95.49808502,-7.620210648,4.118303299,7
28,102384.1641,19,0,408.2792053,2.007701397,72.86917114,1.852645755,0,0,0,0,0,62.14092255,1.915902257,0.46306321,2.922590017,0,0,0,0,0,1.607709646,0,0,0,0,0,0,0.223126665,0,0,0,0,1.165254235,0,0,0,63.02479935,0,0,0,3.532136679,1.877890348,0,5.576934338,1600.494141,2936.910889,29.47507095,3.647583246,0,693.526001,94.73899841,54.49599838,114.2429962,55.21815491,-19.87231636,-4.398246765,1.593489885,7
29,102536.5859,17,0,293.1000366,0,101.8226547,0,0,0,0,0,0.857825398,82.55872345,2.559537411,0,2.524477005,0,0,0,0,0,0,0,0,0,0,0,0,1.319688797,0,0,0,0,0,0,0,0,57.8822403,0,0,1.172085524,0,0,0,1.750412226,2054.299805,3545.054688,40.78873444,8.274894714,0,635.7080078,90.4980011,45.84400177,84.79799652,-16.36849213,-66.76165009,-4.155169487,0.684839249,7
30,102568.6953,18,0,754.4052734,0,66.28154755,0,0,0,0,0,1.78399539,64.0292511,0.308356166,0.048043575,0,0,0,0,0,1.49617672,0,0,0,0,0,0,0,0,0,1.222465873,0,0.550620973,0.799379826,0,1.063604116,0.993299425,283.4923401,3.615525484,0,0,0.080345511,0.64008826,0,0,1817.471191,3162.88916,30.86359978,6.825791836,0,582.0219727,81.26399994,45.06999969,140.6159973,127.4412766,-0.098094374,-6.196681976,6.790583134,7
31,102578.0469,18,0,221.368042,1.015885353,45.74121475,1.144252062,0,0,0.9060238,0,1.035415411,12.9355402,5.092320919,0.06985011,168.515976,0,1.710205913,0,0,6.812373161,0,0.470955014,0,0,0,0,0,3.34783864,0.994155169,0,11.32115459,0,0.116667844,0,0,0,0.883696735,0,0,3.743835211,22.22016525,0.292665243,0,1.571163416,3182.906494,5375.166016,58.55340195,3.217735529,0.531116903,665.5859985,96.98899841,51.59199905,65.36799622,-20.35497856,41.19009781,8.334471703,3.64131856,2
